laborforce_jobfindrate,laborforce_jobseparaterate,date
0.6275617738111702,0.1316515379288863,1980-02-01
0.6126225285760718,0.13173317349976435,1980-03-01
0.5241402044838291,0.13912057035912478,1980-04-01
0.553586163624396,0.15192632258952443,1980-05-01
0.5322201989017136,0.15666741588819716,1980-06-01
0.501362024592643,0.16056747585108477,1980-07-01
0.5415449700380578,0.16139523675470935,1980-08-01
0.5306644792271574,0.1573275546015594,1980-09-01
0.5026721113029838,0.15601913518156232,1980-10-01
0.5058512049902547,0.15522577946815455,1980-11-01
0.5517012848833897,0.1513165921105889,1980-12-01
0.4847792654835546,0.1530788113783714,1981-01-01
0.5271897388491816,0.154920865422866,1981-02-01
0.5480692424377437,0.15393160230043618,1981-03-01
0.5330365608910713,0.15131963888448657,1981-04-01
0.501633452446681,0.15343144655715343,1981-05-01
0.5411309732613196,0.1547021071858689,1981-06-01
0.5751720720250337,0.15290576015679258,1981-07-01
0.5112072303342545,0.15232213802523395,1981-08-01
0.5285274230110732,0.1560145197084343,1981-09-01
0.5003501049255512,0.1627778486279973,1981-10-01
0.5051742622051844,0.16940690427594118,1981-11-01
0.529344326504514,0.17512826080207322,1981-12-01
0.5266327904427732,0.1788377942983653,1982-01-01
0.4659467423825609,0.18210536029820862,1982-02-01
0.4810484279500175,0.1862231960276728,1982-03-01
0.4525916745097325,0.19113430706706622,1982-04-01
0.4626120375295977,0.19435242895054966,1982-05-01
0.3993878212803719,0.19505842253893008,1982-06-01
0.4205720021575159,0.20138570995810154,1982-07-01
0.4401647634556733,0.20378518913398624,1982-08-01
0.4058787585794194,0.20711079355983592,1982-09-01
0.38194083051243316,0.21228218390873044,1982-10-01
0.36993421404886667,0.2190821484523329,1982-11-01
0.38638214289763084,0.2229730964630949,1982-12-01
0.4248197401754671,0.21808582888818878,1983-01-01
0.38759214565939104,0.2147884157672291,1983-02-01
0.37863047793196497,0.21312051077804434,1983-03-01
0.3893353755472061,0.21078881428250015,1983-04-01
0.3907968570079894,0.2080150890991716,1983-05-01
0.3889269877759204,0.20839713626215323,1983-06-01
0.46146822299712953,0.19978389285096726,1983-07-01
0.4113126609611922,0.19541916539657292,1983-08-01
0.4890677549438347,0.1923853950882278,1983-09-01
0.47472199866160514,0.18490790483401032,1983-10-01
0.4744435307116531,0.17817682566985932,1983-11-01
0.48031027159641454,0.17322399444981032,1983-12-01
0.49305146939902234,0.1682200868469169,1984-01-01
0.49993194912884564,0.16376225712498083,1984-02-01
0.48529455220844336,0.1609789163782385,1984-03-01
0.48219749942050016,0.1606917034096356,1984-04-01
0.5047949973078639,0.15685847675638398,1984-05-01
0.5324629510708007,0.15177556691581218,1984-06-01
0.4692745005222195,0.15285015372124172,1984-07-01
0.5446181226458743,0.1556617122447401,1984-08-01
0.5244961342949753,0.15373443199631046,1984-09-01
0.5232929637004627,0.15269764132619965,1984-10-01
0.556102101802492,0.15084423514316042,1984-11-01
0.49705569551816026,0.15049777021908006,1984-12-01
0.5638121851971882,0.15287438423740415,1985-01-01
0.5519873543838347,0.15160809487218205,1985-02-01
0.5460085118557839,0.15090332645139837,1985-03-01
0.5325247598948233,0.15086874051563598,1985-04-01
0.5592287276533956,0.1505153835053201,1985-05-01
0.5227814976619828,0.15139085916555947,1985-06-01
0.5343467400051332,0.15357157421041948,1985-07-01
0.5819771894517757,0.15030356534700287,1985-08-01
0.5446598614386511,0.14845150346177174,1985-09-01
0.5260557915116443,0.14826912000945783,1985-10-01
0.5759266876113691,0.1470040712375281,1985-11-01
0.5382234587742348,0.14550489453202475,1985-12-01
0.6009473535691573,0.14208326334162572,1986-01-01
0.46710852967419114,0.14470783429909298,1986-02-01
0.5509354093260983,0.14937109626799772,1986-03-01
0.5646984669791699,0.14882076420810805,1986-04-01
0.544339711143308,0.14914486136154181,1986-05-01
0.5196331075030328,0.14973609446257224,1986-06-01
0.5572971334766216,0.14779130592794562,1986-07-01
0.5718309727759553,0.14463844150212915,1986-08-01
0.5059206476536747,0.14454247933286965,1986-09-01
0.5432344521890009,0.1450939628034104,1986-10-01
0.5374206473245706,0.14345928740472588,1986-11-01
0.5761134280109504,0.14012131448391418,1986-12-01
0.5601867995932307,0.1383894738328432,1987-01-01
0.5524821444770021,0.13772822907863813,1987-02-01
0.5636927460605624,0.1373792151563715,1987-03-01
0.5849923026113139,0.13370008008558218,1987-04-01
0.5714530078950889,0.13194185315135054,1987-05-01
0.5822829577416727,0.1294591443339443,1987-06-01
0.6022459291897088,0.12757707621330688,1987-07-01
0.579838151079421,0.12614491375854858,1987-08-01
0.6271980035776495,0.12444674183119583,1987-09-01
0.5775882127302931,0.12462957381560341,1987-10-01
0.6263799286166998,0.1232415894453633,1987-11-01
0.6270107895750788,0.1209500324752615,1987-12-01
0.5842462268530808,0.11980566989503498,1988-01-01
0.5854020517025501,0.11939827440053487,1988-02-01
0.5918068580217914,0.1185400955668286,1988-03-01
0.6769898758087379,0.11634361458160668,1988-04-01
0.5832220343135733,0.11531337446580309,1988-05-01
0.6769056939832065,0.11498966424258951,1988-06-01
0.5959777741575869,0.11293134726299577,1988-07-01
0.5873628334595913,0.11573713509964377,1988-08-01
0.6842724587491792,0.1151284209645973,1988-09-01
0.6458290693038641,0.11302440757364525,1988-10-01
0.6467379007648201,0.11223973555139209,1988-11-01
0.6116581369785764,0.1109891929652528,1988-12-01
0.6115714356399728,0.11279865140663538,1989-01-01
0.7472642883384253,0.11097503334525068,1989-02-01
0.698350187961759,0.10698672718996985,1989-03-01
0.6140098600012215,0.10804307750105469,1989-04-01
0.6659989523424032,0.10879383200044533,1989-05-01
0.6663716120955466,0.11075907505964008,1989-06-01
0.6830117031281109,0.11063762262392066,1989-07-01
0.6410997441270951,0.10984808310976137,1989-08-01
0.6568014775210144,0.11088793055782789,1989-09-01
0.6582547188849831,0.11200747922964963,1989-10-01
0.6451473882656799,0.1129086925086316,1989-11-01
0.6844122075582463,0.11289515704810238,1989-12-01
0.6265670970122239,0.11290559321710039,1990-01-01
0.6778617565581225,0.1116737966123867,1990-02-01
0.6733475013726276,0.1105708956783624,1990-03-01
0.6260354346618447,0.11184921949470968,1990-04-01
0.6286270500578631,0.1124775838411773,1990-05-01
0.6731758853617398,0.11079533467922932,1990-06-01
0.576950295110397,0.11274643638878956,1990-07-01
